the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,SS,CAR,Abra,Tineg,Abra,Tineg,200,Tineg NHS,260000,NA,NA,305104,46112,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tineg National High School, Tineg, Abra"
NA,ES,CARAGA,Agusan Del Norte,Kitcharao,Agusan del Norte,Kitcharao,268,P.C. Reyes ES,150000,NA,NA,131452,32849,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"P.C. Reyes Elementary School, Kitcharao, Agusan Del Norte"
NA,ES,CARAGA,Agusan Del Norte,Kitcharao,Agusan del Norte,Kitcharao,409,San Roque ES,198000,NA,NA,131454,32851,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"San Roque Elementary School, Kitcharao, Agusan Del Norte"
NA,SS,Region VI,Aklan,Makato,Aklan,Makato,66,Baybay-Alibagon Integrated School,NA,NA,NA,310627,42444,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Baybay-Alibagon Integrated School, Makato, Aklan"
NA,SS,Region VI,Aklan,Batan,Aklan,Batan,50,Palay Integrated School,NA,NA,NA,310628,42445,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Palay Integrated School, Batan, Aklan"
NA,SS,Region VI,Aklan,Madalag,Aklan,Madalag,29,Ma. Cristina Integrated School,NA,NA,NA,310629,42446,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ma. Cristina Integrated School, Madalag, Aklan"
NA,SS,Region VI,Aklan,Batan,Aklan,Batan,36,Ipil Integrated School,NA,NA,NA,310630,42447,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ipil Integrated School, Batan, Aklan"
NA,ES,Region V,Albay,Tiwi,Albay,Tiwi,393,Sugod ES,220000,NA,NA,112080,12642,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sugod Elementary School, Tiwi, Albay"
NA,ES,Region VI,Antique,Anini-Y,Antique,Anini-y,321,Magdalena ES,202000,NA,NA,114946,15620,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Magdalena Elementary School, Anini-Y, Antique"
NA,ES,Region VI,Antique,Caluya,Antique,Caluya,182,Lim ES,118000,NA,NA,115014,15688,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lim Elementary School, Caluya, Antique"
NA,ES,Region VI,Antique,Pandan,Antique,Pandan,106,Ciriaco Tayco MS,103000,NA,NA,115149,15819,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ciriaco Tayco MS, Pandan, Antique"
NA,ES,Region VI,Antique,Caluya,Antique,Caluya,296,Panagatan ES,153000,NA,NA,178502,18581,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Panagatan Elementary School, Caluya, Antique"
NA,ES,CAR,Apayao,Conner,Apayao,Northern Conner,30,Liwan Elementary School,61000,NA,NA,219007,38012,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Liwan Elementary School, Conner, Apayao"
NA,ES,CAR,Apayao,Conner,Apayao,Northern Conner,10,Bubog PS,58000,NA,NA,219016,38020,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bubog Primary School, Conner, Apayao"
