the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,ES,Region II,Nueva Vizcaya,Villaverde,Nueva Vizcaya,Villaverde,254,Nagbitin ES,151000,NA,NA,104216,4283,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Nagbitin Elementary School, Villaverde, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Villaverde,Nueva Vizcaya,Villaverde,145,Ocapon Elementary School,125000,NA,NA,104217,4284,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ocapon Elementary School, Villaverde, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Villaverde,Nueva Vizcaya,Villaverde,199,Felix-Juana Brawner Community School,132000,NA,NA,104219,4286,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Felix-Juana Brawner Community School, Villaverde, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Villaverde,Nueva Vizcaya,Villaverde,141,Turod ES,107000,NA,NA,104221,4288,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Turod Elementary School, Villaverde, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Kayapa,Nueva Vizcaya,Western Kayapa,22,Tidang Village PS,56000,NA,NA,156001,4560,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tidang Village Primary School, Kayapa, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Aritao,Nueva Vizcaya,Aritao East,15,Gasajas PS,51000,NA,NA,156002,4561,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Gasajas Primary School, Aritao, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Ambaguio,Nueva Vizcaya,Ambaguio,104,Hamhamaan PS,80000,NA,NA,156003,4562,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Hamhamaan Primary School, Ambaguio, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Kayapa,Nueva Vizcaya,Western Kayapa,24,Tubongan PS,55000,NA,NA,156004,4563,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tubongan Primary School, Kayapa, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Kayapa,Nueva Vizcaya,Eastern Kayapa,17,Kapangan PS,61000,NA,NA,156005,4564,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kapangan Primary School, Kayapa, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Bayombong (Capital),Nueva Vizcaya,Bayombong I,121,Dr. Candido V. Rosario Sr. Elementary School,108000,NA,NA,156006,4565,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Dr. Candido V. Rosario Sr. Elementary School, Bayombong (Capital), Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Dupax Del Norte,Nueva Vizcaya,Dupax del Norte I,118,Naruron ES,70000,NA,NA,156007,4566,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Naruron Elementary School, Dupax Del Norte, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Kayapa,Nueva Vizcaya,Western Kayapa,50,Sabino PS,60000,NA,NA,156011,4568,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sabino Primary School, Kayapa, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Ambaguio,Nueva Vizcaya,Ambaguio,43,Lihlit PS,68000,NA,NA,156012,4569,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lihlit Primary School, Ambaguio, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Bayombong (Capital),Nueva Vizcaya,Bayombong I,34,Bansing ES,91000,NA,NA,156013,4570,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bansing Elementary School, Bayombong (Capital), Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Alfonso Casta̱eda,Nueva Vizcaya,Alfonso Casta̱eda,30,Alfonso Castaneda CS Annex,60000,NA,NA,156015,4571,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Alfonso Castaneda CS Annex, Alfonso Casta̱eda, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Bagabag,Nueva Vizcaya,Bagabag II,36,Pogonsino Annex Primary School,65000,NA,NA,156019,4574,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Pogonsino Annex Primary School, Bagabag, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Alfonso Casta̱eda,Nueva Vizcaya,Alfonso Casta̱eda,50,Pelaway ES Annex,59000,NA,NA,156020,4575,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Pelaway Elementary School Annex, Alfonso Casta̱eda, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Aritao,Nueva Vizcaya,Aritao West,46,Bone South Elementary School Annex,59000,NA,NA,156023,4576,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bone South Elementary School Annex, Aritao, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Alfonso Casta̱eda,Nueva Vizcaya,Alfonso Casta̱eda,352,Alfonso Casta̱eda NHS,507000,NA,NA,300615,39379,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Alfonso Casta̱eda National High School, Alfonso Casta̱eda, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Alfonso Casta̱eda,Nueva Vizcaya,Alfonso Casta̱eda,190,Casecnan National High School,341000,NA,NA,300616,39380,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Casecnan National High School, Alfonso Casta̱eda, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Ambaguio,Nueva Vizcaya,Ambaguio,439,Ambaguio High School,447000,NA,NA,300617,39381,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ambaguio High School, Ambaguio, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Dupax Del Norte,Nueva Vizcaya,Dupax del Norte I,643,Belance HS,630000,NA,NA,300622,39386,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Belance High School, Dupax Del Norte, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Dupax Del Sur,Nueva Vizcaya,Dupax del Sur,105,Carolotan High School,206000,NA,NA,300625,39389,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Carolotan High School, Dupax Del Sur, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Dupax Del Sur,Nueva Vizcaya,Dupax del Sur,200,Ganao National HS,274000,NA,NA,300629,39393,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ganao National High School, Dupax Del Sur, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Kasibu,Nueva Vizcaya,Kasibu West,197,Kakiduguen NHS,298000,NA,NA,300630,39394,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kakiduguen National High School, Kasibu, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Kasibu,Nueva Vizcaya,Kasibu West,722,Kasibu Nat'l. Agr'l. School,674000,NA,NA,300631,39395,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kasibu Nat'l. Agr'l. School, Kasibu, Nueva Vizcaya"
NA,SS,Region II,Nueva Vizcaya,Kayapa,Nueva Vizcaya,Western Kayapa,289,Kayapa HS,402000,NA,NA,300632,39396,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Kayapa High School, Kayapa, Nueva Vizcaya"
