the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,ES,Region VI,Iloilo,Badiangan,Iloilo,Badiangan,319,Tina ES,221000,NA,NA,116009,16671,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tina Elementary School, Badiangan, Iloilo"
NA,ES,Region VI,Iloilo,Balasan,Iloilo,Balasan,463,Salvacion ES,223000,NA,NA,116023,16685,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Salvacion Elementary School, Balasan, Iloilo"
NA,ES,Region VI,Iloilo,Barotac Viejo,Iloilo,Barotac Viejo,130,Nagpana PS,92000,NA,NA,116070,16732,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Nagpana Primary School, Barotac Viejo, Iloilo"
NA,ES,Region VI,Iloilo,Batad,Iloilo,Batad,402,Tanao ES,192000,NA,NA,116101,16763,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tanao Elementary School, Batad, Iloilo"
NA,ES,Region VI,Iloilo,Bingawan,Iloilo,Bingawan,750,Bingawan CES,405000,NA,NA,116105,16767,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Bingawan CElementary School, Bingawan, Iloilo"
NA,ES,Region VI,Iloilo,Cabatuan,Iloilo,Cabatuan I,45,C. Clama MPS,68000,NA,NA,116118,16780,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"C. Clama MPS, Cabatuan, Iloilo"
NA,ES,Region VI,Iloilo,Cabatuan,Iloilo,Cabatuan I,1555,Cabatuan CES,734000,NA,NA,116119,16781,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Cabatuan CElementary School, Cabatuan, Iloilo"
NA,ES,Region VI,Iloilo,Cabatuan,Iloilo,Cabatuan I,132,Celda ES,121000,NA,NA,116120,16782,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Celda Elementary School, Cabatuan, Iloilo"
NA,ES,Region VI,Iloilo,Cabatuan,Iloilo,Cabatuan I,248,Don Nicolas Catalan MS,159000,NA,NA,116122,16784,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Don Nicolas Catalan MS, Cabatuan, Iloilo"
NA,ES,Region VI,Iloilo,Cabatuan,Iloilo,Cabatuan I,147,Grio ES,129000,NA,NA,116123,16785,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Grio Elementary School, Cabatuan, Iloilo"
NA,ES,Region VI,Iloilo,Cabatuan,Iloilo,Cabatuan I,52,Inaladan PS,70000,NA,NA,116124,16786,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Inaladan Primary School, Cabatuan, Iloilo"
